passer_id,passer,posteam
00-0019019,M.Knorr,"DAL, DEN"
00-0023234,M.Koenen,TB
00-0031431,M.Lee,JAX
00-0024225,M.Leinart,"ARI, HOU, LV"
00-0025399,M.Lynch,"BUF, SEA"
00-0010206,M.Lytle,CAR
00-0027816,M.Mariani,CHI
00-0032268,M.Mariota,"LV, TEN"
00-0027026,M.Massaquoi,CLE
00-0022768,M.Mauck,TEN
00-0021488,M.McBriar,"DAL, PIT"
00-0030419,M.McGloin,LV
00-0020308,M.McMahon,"DET, PHI"
00-0022217,M.Moore,"MIN, PIT"
00-0025708,M.Moore,"CAR, KC, MIA"
00-0011640,M.Moreno,LAC
00-0031363,M.Palardy,CAR
00-0013013,M.Pittman,ARI
00-0023853,M.Prater,"DEN, DET"
00-0026393,M.Reece,LV
00-0013712,M.Ricks,LAC
00-0024315,M.Robinson,"SEA, SF"
00-0014115,M.Royals,"JAX, TB"
00-0034771,M.Rudolph,PIT
00-0026143,M.Ryan,ATL
00-0014234,M.Rypien,IND
00-0026898,M.Sanchez,"DAL, NYJ, PHI, WAS"
00-0029632,M.Sanu,"ATL, CIN"
00-0022787,M.Schaub,"ATL, BAL, HOU, LV"
00-0022017,M.Scifres,LAC
00-0029151,M.Simms,NYJ
00-0023968,M.Spurlock,"SF, TB"
00-0026498,M.Stafford,"DET, LA"
00-0016538,M.Tomczak,PIT
00-0033869,M.Trubisky,"BUF, CHI"
00-0020405,M.Tuiasosopo,LV
00-0016689,M.Turk,"HOU, NYJ"
00-0020245,M.Vick,"ATL, NYJ, PHI, PIT"
00-0026901,M.Wallace,MIA
00-0034401,M.White,NYJ
00-0019614,M.Wiley,DAL
00-0027702,M.Williams,TB
00-0034941,M.Wishnowsky,SF
00-0031549,N.Agholor,PHI
00-0029567,N.Foles,"CHI, JAX, KC, LA, PHI"
00-0019831,N.Goings,CAR
00-0020267,N.Harris,DET
00-0033319,N.Mullens,"CLE, SF"
00-0012261,N.O'Donnell,TEN
00-0033958,N.Peterman,"BUF, LV"
00-0032792,N.Sudfeld,PHI
00-0031235,O.Beckham,"CLE, LA, NYG"
00-0033111,P.Cooper,LA
00-0022766,P.Crayton,"DAL, LAC"
00-0004091,P.Dawson,CLE
00-0019490,P.Edinger,CHI
00-0026345,P.Garcon,WAS
00-0006100,P.Gonzalez,PIT
00-0026367,P.Hillis,"CLE, KC"
00-0007661,P.Holmes,KC
00-0008598,P.Johnson,JAX
00-0008970,P.Justin,LA
00-0033108,P.Lynch,DEN
00-0033873,P.Mahomes,KC
00-0010346,P.Manning,"DEN, IND"
00-0027145,P.McAfee,IND
00-0031079,P.O'Donnell,CHI
00-0027943,P.Peterson,ARI
00-0013232,P.Price,ATL
