receiver_id,receiver,posteam
00-0028876,C.Mooney,TEN
00-0022826,C.Moore,BAL
00-0032398,C.Moore,"BAL, HOU"
00-0026963,C.Morrah,SEA
00-0019590,C.Morton,"NO, NYJ, WAS"
00-0021403,C.Mustard,"CLE, DEN"
00-0035345,C.Myarick,NYG
00-0027939,C.Newton,"CAR, NE"
00-0027140,C.Ogbonnaya,"CAR, CLE, LA"
00-0028905,C.Owusu,"NYJ, TB"
00-0036244,C.Parkinson,SEA
00-0030578,C.Patterson,"ATL, CHI, LV, MIN, NE"
00-0032959,C.Peake,NYJ
00-0026932,C.Peerman,CIN
00-0012764,C.Penn,LAC
00-0022926,C.Perry,CIN
00-0034512,C.Phillips,BUF
00-0012953,C.Pickens,"CIN, TEN"
00-0029438,C.Polk,"HOU, PHI"
00-0027950,C.Ponder,MIN
00-0021179,C.Portis,"DEN, WAS"
00-0026723,C.Pressley,"CIN, TB"
00-0032393,C.Prosise,"HOU, SEA"
00-0029140,C.Rainey,"IND, PIT"
00-0028795,C.Reynolds,LA
00-0035567,C.Reynolds,"DET, JAX"
00-0034837,C.Ridley,ATL
00-0023503,C.Roby,"ATL, NO, TEN"
00-0013958,C.Rogers,"MIA, SEA"
00-0022072,C.Rogers,DET
00-0032355,C.Rogers,"IND, TEN"
00-0021212,C.Russell,"CIN, MIA, WAS"
00-0033282,C.Samuel,"CAR, WAS"
00-0014319,C.Sanders,TEN
00-0021845,C.Sapp,DEN
00-0036910,C.Saunders,CAR
00-0026366,C.Schilens,"LV, NYJ"
00-0014450,C.Schlesinger,DET
00-0028052,C.Shorts,"HOU, JAX, TB"
00-0022005,C.Simms,TB
00-0019694,C.Simon,PHI
00-0025997,C.Simpson,IND
00-0034104,C.Sims,WAS
00-0031390,"C.Sims, C.Sims III",TB
00-0026113,C.Smith,TB
00-0027861,C.Spiller,"BUF, KC, NO, NYJ, SEA"
00-0020849,C.Stackhouse,"MIN, NYG"
00-0026260,C.Steltz,CHI
00-0026225,C.Stevens,TEN
00-0025622,C.Stuckey,"ARI, CLE, NYJ"
00-0034348,C.Sutton,DEN
00-0021314,C.Taylor,"ARI, BAL, CHI, MIN"
00-0023844,C.Taylor,HOU
00-0025584,C.Taylor,SEA
00-0016232,C.Thomas,"KC, LA"
00-0030404,C.Thompson,"JAX, WAS"
00-0033720,C.Thompson,CAR
00-0033855,C.Thompson,HOU
00-0023551,C.Thorpe,IND
00-0032134,C.Uzomah,CIN
00-0016916,C.Villarrial,CHI
00-0032256,C.Walford,"LV, MIA"
00-0023878,C.Wallace,TEN
00-0017110,C.Walsh,MIN
00-0017209,C.Warren,"DAL, PHI"
00-0026353,C.Washington,"DAL, JAX"
00-0030897,C.Washington,NYG
00-0017337,C.Way,NYG
00-0027007,C.Wells,ARI
00-0032950,C.Wentz,PHI
00-0027441,C.West,JAX
00-0030668,C.West,KC
00-0035891,C.White,PIT
00-0032562,C.Wick,"DET, SF"
00-0035231,C.Wilkins,MIA
00-0018568,C.Williams,ARI
00-0023440,C.Williams,"LA, TB"
00-0026154,C.Williams,CHI
00-0026369,C.Williams,BAL
00-0033933,C.Williams,"ARI, IND"
00-0020452,C.Wilson,"PIT, SF"
00-0034418,C.Wilson,DAL
00-0036429,C.Woerner,SF
00-0030248,C.Wood,BUF
00-0018227,C.Woodson,LV
00-0031932,C.Worthy,HOU
00-0018382,C.Yeast,CIN
00-0031381,D.Adams,GB
00-0032187,"Da.Johnson, D.Johnson","ARI, HOU"
00-0000145,D.Alexander,"KC, MIN"
00-0027912,D.Alexander,"LA, LAC"
00-0020058,D.Allen,JAX
00-0029689,D.Allen,"IND, NE"
00-0026035,D.Amendola,"DET, HOU, LA, MIA, NE"
00-0030874,"Dam. Williams, Dam.Williams, Da.Williams, D.Williams","CHI, KC, MIA"
