id,name,posteam
00-0031285,D.Freeman,"ATL, BAL, NYG"
00-0021500,D.Frost,"CLE, GB, WAS"
00-0022102,D.Gabriel,LV
00-0021231,D.Garrard,JAX
00-0027795,D.Gettis,CAR
00-0005932,D.Gibson,JAX
00-0028646,D.Gilreath,PIT
00-0021353,D.Givens,"NE, TEN"
00-0025513,D.Goldson,"SF, TB"
00-0035715,D.Gore,KC
00-0034358,D.Guice,WAS
00-0019539,D.Hall,"KC, LA"
00-0028114,D.Harris,"DAL, LV, NYG"
00-0028409,D.Harris,"GB, JAX, SEA, SF"
00-0035215,D.Harris,NO
00-0035657,D.Harris,NE
00-0035848,D.Harris,IND
00-0035232,D.Haskins,WAS
00-0007226,D.Hellestrae,BAL
00-0022929,D.Henderson,NO
00-0033581,D.Henderson,"DEN, NYJ"
00-0035664,D.Henderson,LA
00-0032764,D.Henry,TEN
00-0022181,D.Henson,"DAL, DET"
00-0029588,D.Herron,"BUF, CIN, IND"
00-0024272,D.Hester,"ATL, CHI"
00-0026983,D.Heyward-Bey,"IND, LV, PIT"
00-0034253,D.Hilliard,"CLE, TEN"
00-0024345,D.Hixon,NYG
00-0035577,D.Hodges,PIT
00-0030564,D.Hopkins,"ARI, HOU"
00-0007798,D.Howard,DET
00-0007835,D.Huard,"KC, MIA, NE"
00-0019663,D.Jackson,SEA
00-0026189,D.Jackson,"LV, PHI, TB, WAS"
00-0032636,D.Jackson,GB
00-0033049,D.Jackson,DAL
00-0025432,D.Jarrett,CAR
00-0031972,D.Jennings,TEN
00-0034827,"Dj.Moore, D.Moore",CAR
00-0008484,D.Johnson,"ARI, TB"
00-0019087,D.Johnson,"ATL, TEN"
00-0026957,D.Johnson,LAC
00-0029435,D.Johnson,"HOU, NE, PHI"
00-0030236,D.Johnson,HOU
00-0035216,D.Johnson,PIT
00-0035628,D.Johnson,CLE
00-0032257,"D.Johnson, D.Johnson Jr., Du.Johnson","CLE, HOU, MIA"
00-0022684,D.Jones,"LA, MIA, PHI"
00-0027518,D.Jones,BUF
00-0035710,D.Jones,NYG
00-0020564,D.Joyce,NYG
